availability_30,availability_60,availability_90,availability_365
29,59,89,364
0,0,0,0
0,0,0,0
14,31,61,336
28,58,88,363
23,40,70,70
8,29,52,135
0,0,0,0
23,53,75,311
13,19,40,122
27,57,87,177
0,0,0,188
3,9,24,259
0,0,0,226
0,0,0,0
12,39,66,338
0,0,0,0
21,38,68,342
0,0,0,0
30,60,90,365
9,39,69,69
30,60,90,365
0,0,0,0
27,57,87,362
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
7,13,21,229
24,54,84,359
3,3,3,3
0,0,0,0
26,52,82,347
10,40,70,71
23,53,83,83
30,60,90,365
8,26,56,137
0,0,0,0
0,25,55,330
0,0,0,0
0,11,36,200
7,9,10,73
0,0,0,179
3,18,30,205
0,0,1,210
0,0,0,0
0,16,45,45
17,42,69,341
21,51,81,159
9,39,69,344
5,21,37,37
16,29,29,160
24,24,24,242
0,0,0,0
29,59,89,89
4,14,37,205
29,59,89,364
5,15,45,226
0,0,0,0
0,0,0,0
0,0,0,0
19,41,64,150
30,60,90,365
25,45,50,276
2,8,17,58
4,10,22,233
0,0,0,0
8,26,26,26
0,0,0,0
0,0,0,0
11,38,59,301
0,0,0,0
4,15,40,128
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
6,31,61,151
29,59,89,89
0,0,0,0
2,15,45,45
4,7,25,31
0,8,24,169
0,0,0,249
0,0,0,0
0,0,0,207
18,47,64,334
26,56,86,361
0,15,15,144
27,57,87,362
0,0,0,0
0,0,0,0
11,37,67,155
30,60,90,365
0,3,24,105
0,0,0,0
26,56,71,315
0,0,0,0
10,40,70,345
1,26,52,52
8,8,8,8
5,30,60,319
0,0,0,0
0,0,0,0
0,5,16,95
30,60,90,90
0,0,0,0
0,0,0,0
0,5,5,108
28,58,88,88
0,0,0,0
0,0,0,0
21,23,23,79
23,39,65,321
0,0,0,0
2,2,2,251
0,0,0,0
25,55,85,355
3,3,3,28
0,0,0,0
29,59,89,364
1,5,8,184
29,59,89,364
5,15,21,229
29,59,89,89
23,53,83,358
